編號,地震時間,經度,緯度,規模,深度,位置
小區域有感地震,2024-06-06 23:51:17,121.673,24.1817,4.6,36,花蓮縣政府北北東方  21.8  公里 (位於花蓮縣近海)(花蓮縣近海)
415   ,2024-06-06 19:40:35,121.728,23.9647,4,25.6,花蓮縣政府東南東方  11.4  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2024-06-06 16:05:51,121.72,24.3108,3.2,31.8,花蓮縣政府北北東方  36.9  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
414   ,2024-06-06 14:18:13,121.705,24.3107,4.4,30.1,花蓮縣政府北北東方  36.4  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
小區域有感地震,2024-06-06 11:17:09,121.432,23.8558,3.3,20.5,花蓮縣政府西南方  24.3  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
小區域有感地震,2024-06-05 21:20:43,120.502,24.0832,3.7,21.9,彰化縣政府西方  4.4  公里 (位於彰化縣和美鎮)(彰化縣和美鎮)
小區域有感地震,2024-06-05 20:36:48,121.627,23.953,4.3,42,花蓮縣政府南方  4.3  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-06-05 19:31:05,122.011,24.1025,4.1,38.6,花蓮縣政府東北東方  41.6  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2024-06-05 14:46:07,121.584,23.627,4.3,17,花蓮縣政府南方  40.5  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-06-05 13:50:25,122.002,24.5255,3.5,13.8,宜蘭縣政府東南方  33.2  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2024-06-05 04:42:21,121.829,24.1497,3.5,21.7,花蓮縣政府東北方  27.6  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2024-06-04 19:45:18,121.709,24.3083,3,16.6,花蓮縣政府北北東方  36.3  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
小區域有感地震,2024-06-03 23:04:40,120.297,23.0413,3.3,13.9,臺南市政府東北東方  12.7  公里 (位於臺南市新化區)(臺南市新化區)
小區域有感地震,2024-06-03 23:01:10,121.605,23.9007,3.6,28.6,花蓮縣政府南方  10.1  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-06-03 16:48:50,121.471,23.9267,3,14.2,花蓮縣政府西南西方  16.7  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
小區域有感地震,2024-06-03 03:27:30,121.553,23.2477,4.1,36.1,臺東縣政府東北方  68.4  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2024-06-02 21:19:34,121.585,23.8063,3.8,5.4,花蓮縣政府南方  20.8  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-06-02 20:52:38,121.869,24.2953,3.9,23.7,花蓮縣政府東北方  42.1  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2024-06-02 19:36:43,121.812,24.1788,3.8,16.9,花蓮縣政府東北方  28.5  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2024-06-02 16:33:28,121.858,24.2875,3.5,10.9,花蓮縣政府東北方  40.8  公里 (位於臺灣東部海域)(臺灣東部海域)
413   ,2024-06-02 09:28:37,121.582,23.803,4.4,6.1,花蓮縣政府南南西方  21.2  公里 (位於花蓮縣近海)(花蓮縣近海)
412   ,2024-06-02 09:27:24,121.597,23.8012,4.8,5.4,花蓮縣政府南方  21.2  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-06-01 20:30:44,121.694,24.23,3.5,30.2,花蓮縣政府北北東方  27.5  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
小區域有感地震,2024-06-01 18:48:42,121.595,23.9162,3.4,8.8,花蓮縣政府南南西方  8.7  公里 (位於花蓮縣壽豐鄉)(花蓮縣壽豐鄉)
小區域有感地震,2024-06-01 14:27:58,121.659,24.1828,3.7,31.5,花蓮縣政府北北東方  21.6  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-06-01 12:41:48,122.005,24.369,3.7,18.4,宜蘭縣政府南南東方  47.0  公里 (位於臺灣東部海域)(臺灣東部海域)
411   ,2024-06-01 08:32:39,122,24.3635,4.9,18.8,宜蘭縣政府南南東方  47.2  公里 (位於臺灣東部海域)(臺灣東部海域)
410   ,2024-06-01 01:10:59,121.573,24.0677,5.5,13.1,花蓮縣政府北北西方  9.8  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
